id,category,sub_category,issue_type,title,scenario_summary,key_arguments,counter_arguments,required_documents,useful_search_keywords,expected_source_areas,caution_notes,source_area,source_type,trust_level,review_status
"PIP001","계약전 알릴의무","실손보험 계약해지","중요사항성 / 고의중과실","M47.26 1회 통원 미고지로 실손보험 계약해지","M47.26 1회 통원 미고지로 실손보험 계약해지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","M47.26;요추증;1회 통원;고지의무;중요한 사항;고의;중대한 과실;계약해지;계약전 알릴의무;실손보험 계약해지;중요사항성 / 고의중과실","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP002","계약전 알릴의무","건강검진 미고지","검진 이상소견 / 중요사항성","갑상선 결절 건강검진 미고지","갑상선 결절 건강검진 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","갑상선 결절;건강검진;추적관찰;갑상선암;고지의무;암진단비;계약전 알릴의무;건강검진 미고지;검진 이상소견 / 중요사항성","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP003","계약전 알릴의무","투약 미고지","장기투약 / 인과관계","고혈압 투약 미고지","고혈압 투약 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","고혈압;투약;뇌경색;고지의무;인과관계;진단비;계약전 알릴의무;투약 미고지;장기투약 / 인과관계","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP004","계약전 알릴의무","검진 수치 미고지","단순 측정치 / 치료 이력 구분","고혈압 단순 측정치 미고지","고혈압 단순 측정치 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","혈압 상승;단순 측정치;고혈압;건강검진;투약 없음;재검 권유;계약전 알릴의무;검진 수치 미고지;단순 측정치 / 치료 이력 구분","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP005","계약전 알릴의무","건강검진 미고지","여성질환 / 암 관련성","유방결절 건강검진 미고지","유방결절 건강검진 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","유방결절;유방암;초음파;재검 권유;암진단비;중요한 사항;계약전 알릴의무;건강검진 미고지;여성질환 / 암 관련성","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP006","계약전 알릴의무","경미질환 미고지","1회성 치료 / 중요사항성","위염 1회성 치료 미고지","위염 1회성 치료 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","위염;1회 진료;단기처방;위암;고지의무;인과관계;계약전 알릴의무;경미질환 미고지;1회성 치료 / 중요사항성","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP007","계약전 알릴의무","물리치료 미고지","통원치료 / 장기치료 구분","허리통증 물리치료 미고지","허리통증 물리치료 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","허리통증;물리치료;디스크;통원치료;기왕증;계약해지;계약전 알릴의무;물리치료 미고지;통원치료 / 장기치료 구분","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP008","계약전 알릴의무","검사 미고지","영상검사 / 진단 전 단계","보험가입 전 MRI 검사 미고지","보험가입 전 MRI 검사 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","MRI;영상검사;진단 전;정밀검사;동일부위;중요한 사항;계약전 알릴의무;검사 미고지;영상검사 / 진단 전 단계","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP009","계약전 알릴의무","검진 재검 미고지","재검 권유 / 미확진","건강검진 재검 권유 미고지","건강검진 재검 권유 미고지 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","건강검진;재검 권유;이상소견;미확진;청약서;중요한 사항;계약전 알릴의무;검진 재검 미고지;재검 권유 / 미확진","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
"PIP010","계약전 알릴의무","모집 과정","설계사 고지 / 고지수령권","보험설계사에게만 병력을 말한 경우","보험설계사에게만 병력을 말한 경우 사안에서 보험사가 약관상 요건, 의학적 필요성, 진단확정, 고지의무 또는 장해평가를 다투는 실무형 검색 보조 시나리오.","보험사는 약관 문언, 청약서 질문사항, 검사결과, 진료기록 또는 장해평가 기준을 근거로 제한 지급 또는 부지급을 주장할 수 있음.;내부 심사 기준과 공식 약관상 요건을 구분해 실제 근거 자료를 확인해야 함.","피보험자 측은 경위, 증상, 검사결과, 치료 경과, 의사 소견을 통해 쟁점별 반박이 가능함.;질병명 또는 비용 항목명만으로 결론 내리지 말고 약관 문언과 의무기록의 구체 내용을 함께 확인해야 함.;이 플레이북은 검색 보조 자료이며 최종 문서의 공식 인용 근거로 사용하면 안 됨.","청약서 알릴의무 질문사항;진료기록지;처방전;검사결과지;진료비 세부내역서;보험사 해지 통지서;의사 소견서","설계사;구두 고지;고지수령권;청약서;자필서명;계약해지;계약전 알릴의무;모집 과정;설계사 고지 / 고지수령권","legal_statutes;fss_dispute_cases;medical_knowledge;terms_standards;precedents","공식 판례, 분쟁조정례, 약관조항이 아니라 검색 보조용 내부 플레이북이다. 최종 판단에는 실제 법령, 약관, 분쟁조정례, 진료기록 확인이 필요하다.","issue_playbooks","internal_issue_playbook","internal_playbook","needs_human_review"
