id,category,sub_category,query,search_scope,expected_issue_types,expected_source_keywords,fetch_status,source_status,fetched_count,imported_count,notes
"PST001","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험 고지의무 중대한 과실 중요한 사항","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험;고지의무;중대한;과실;중요한;사항;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","0","results=5 imported=0 fulltext=0 list_only=0 duplicates=5 total_limit_skipped=0"
"PST002","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험계약 고지의무 중요한 사항","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험계약;고지의무;중요한;사항;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST003","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","고지의무 위반 보험사고 인과관계","precedent","계약전 알릴의무;중요한 사항;중대한 과실","고지의무;위반;보험사고;인과관계;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST004","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","건강검진 고지의무 보험계약","precedent","계약전 알릴의무;중요한 사항;중대한 과실","건강검진;고지의무;보험계약;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=3 list_only=1 duplicates=1 total_limit_skipped=0"
"PST005","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","갑상선 결절 고지의무 보험","precedent","계약전 알릴의무;중요한 사항;중대한 과실","갑상선;결절;고지의무;보험;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=5 list_only=0 duplicates=0 total_limit_skipped=0"
"PST006","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","고혈압 투약 고지의무 보험계약","precedent","계약전 알릴의무;중요한 사항;중대한 과실","고혈압;투약;고지의무;보험계약;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST007","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험 고지의무 해지권 행사기간","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험;고지의무;해지권;행사기간;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","5","results=5 imported=5 fulltext=3 list_only=2 duplicates=0 total_limit_skipped=0"
"PST008","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험 고지의무 설계사에게 고지","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험;고지의무;설계사에게;고지;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","4","results=5 imported=4 fulltext=4 list_only=0 duplicates=1 total_limit_skipped=0"
"PST009","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","청약서 질문표 고지의무 중요한 사항","precedent","계약전 알릴의무;중요한 사항;중대한 과실","청약서;질문표;고지의무;중요한;사항;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","3","results=5 imported=3 fulltext=3 list_only=0 duplicates=2 total_limit_skipped=0"
"PST010","고지의무 / 계약전 알릴의무","중요사항성 / 중대한 과실","보험계약 고지의무 고의 중대한 과실","precedent","계약전 알릴의무;중요한 사항;중대한 과실","보험계약;고지의무;고의;중대한;과실;계약전 알릴의무;중요한 사항;중대한 과실","fetched","list_or_fulltext_checked","5","1","results=5 imported=1 fulltext=1 list_only=0 duplicates=4 total_limit_skipped=0"
