id,domain,canonical_term,aliases,related_diagnosis_codes,related_issue_types,related_source_areas,search_boost_keywords,notes
"RKA001","diagnosis_code","M47.26","M47.26;M47.26 관련 표현;M47.26 쟁점;M47.26 보험금;M47.26 부지급;M47.26 분쟁","M47.26","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;M47.26;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA002","diagnosis_code","M51","M51;M51 관련 표현;M51 쟁점;M51 보험금;M51 부지급;M51 분쟁","M51","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;M51;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA003","diagnosis_code","M54","M54;M54 관련 표현;M54 쟁점;M54 보험금;M54 부지급;M54 분쟁","M54","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;M54;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA004","diagnosis_code","I10","I10;I10 관련 표현;I10 쟁점;I10 보험금;I10 부지급;I10 분쟁","I10","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;I10;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA005","diagnosis_code","E11","E11;E11 관련 표현;E11 쟁점;E11 보험금;E11 부지급;E11 분쟁","E11","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;E11;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA006","diagnosis_code","C73","C73;C73 관련 표현;C73 쟁점;C73 보험금;C73 부지급;C73 분쟁","C73","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;C73;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA007","diagnosis_code","D37","D37;D37 관련 표현;D37 쟁점;D37 보험금;D37 부지급;D37 분쟁","D37","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;D37;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA008","diagnosis_code","D05","D05;D05 관련 표현;D05 쟁점;D05 보험금;D05 부지급;D05 분쟁","D05","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;D05;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA009","diagnosis_code","I21","I21;I21 관련 표현;I21 쟁점;I21 보험금;I21 부지급;I21 분쟁","I21","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;I21;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA010","diagnosis_code","I63","I63;I63 관련 표현;I63 쟁점;I63 보험금;I63 부지급;I63 분쟁","I63","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;I63;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA011","diagnosis_code","I61","I61;I61 관련 표현;I61 쟁점;I61 보험금;I61 부지급;I61 분쟁","I61","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;I61;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA012","diagnosis_code","S83","S83;S83 관련 표현;S83 쟁점;S83 보험금;S83 부지급;S83 분쟁","S83","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;S83;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA013","diagnosis_code","M75","M75;M75 관련 표현;M75 쟁점;M75 보험금;M75 부지급;M75 분쟁","M75","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;M75;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA014","diagnosis_code","S32","S32;S32 관련 표현;S32 쟁점;S32 보험금;S32 부지급;S32 분쟁","S32","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;S32;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA015","diagnosis_code","H90","H90;H90 관련 표현;H90 쟁점;H90 보험금;H90 부지급;H90 분쟁","H90","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;H90;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA016","diagnosis_code","G90.5","G90.5;G90.5 관련 표현;G90.5 쟁점;G90.5 보험금;G90.5 부지급;G90.5 분쟁","G90.5","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;G90.5;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA017","diagnosis_code","K29","K29;K29 관련 표현;K29 쟁점;K29 보험금;K29 부지급;K29 분쟁","K29","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;K29;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA018","diagnosis_code","B18.1","B18.1;B18.1 관련 표현;B18.1 쟁점;B18.1 보험금;B18.1 부지급;B18.1 분쟁","B18.1","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;B18.1;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
"RKA019","diagnosis_code","N40","N40;N40 관련 표현;N40 쟁점;N40 보험금;N40 부지급;N40 분쟁","N40","계약전 알릴의무;실손보험 부지급;후유장해;암뇌심장 진단비","medical_knowledge;legal_statutes;fss_dispute_cases;terms_standards","검색 보조;쟁점 분류;추가자료 확인;N40;사람 검토 필요","공식 용어 사전이 아니라 RAG 검색 recall 보강용 내부 alias다."
